,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPANXB1,25.38764491,7.241588382,0.488638581,12.77342525,2.31E-37,2.51E-34
KRT6C,2401.321042,6.807752446,0.342918511,16.93624652,2.43E-64,1.45E-60
KRT6B,8398.769071,6.706397671,0.323351663,17.64765217,1.06E-69,1.27E-65
SPRR2A,1134.045416,6.01470083,0.309627464,16.19591739,5.39E-59,2.57E-55
CRNN,98.82844202,5.969942156,0.474146551,10.48186925,1.05E-25,3.85E-23
KLK5,1014.789336,5.684352746,0.420562941,11.13829177,8.17E-29,4.06E-26
SPRR2E,365.8293038,5.506541862,0.38394589,11.73744004,8.19E-32,6.11E-29
KLK7,428.9693238,5.120066326,0.373945692,11.01782001,3.14E-28,1.47E-25
BNC1,616.3101946,5.060168048,0.306797314,13.23404038,5.58E-40,7.40E-37
TENM2,826.142793,5.046093433,0.260937901,15.505963,3.16E-54,1.26E-50
TRIML2,35.90757081,4.916162406,0.335674027,11.66656365,1.89E-31,1.33E-28
NMRAL2P,229.8700869,4.86133571,0.266813969,14.47201478,1.82E-47,3.62E-44
SPRR2D,826.6563561,4.820670133,0.305352153,12.51234059,6.39E-36,6.11E-33
KRT75,206.4460536,4.812517195,0.374845767,10.17089569,2.67E-24,8.40E-22
MAGEB2,95.25901641,4.742430726,0.381745502,9.803470403,1.09E-22,3.02E-20
LINC01179,4.512037282,4.708906311,0.438802856,8.452329475,2.86E-17,4.37E-15
IL36G,161.9034814,4.677711533,0.259666399,14.16321689,1.55E-45,2.84E-42
KLK10,1292.685179,4.620189701,0.2831368,12.7860091,1.96E-37,2.23E-34
S100A7A,593.9821671,4.613869985,0.432596584,8.353903204,6.60E-17,9.56E-15
KLK6,1290.730614,4.596386609,0.345250283,10.41675209,2.08E-25,7.41E-23
PAEP,43.90327406,4.588280425,0.286722739,12.51480938,6.20E-36,6.11E-33
MRGPRX3,7.405387879,4.565540018,0.308565102,11.55522772,6.95E-31,4.61E-28
DSG3,5843.460743,4.557651326,0.309206161,11.50575822,1.23E-30,7.96E-28
TGM1,1335.867633,4.482528188,0.196009903,17.7671033,1.27E-70,3.03E-66
KLK9,1.808741142,4.439473932,0.48678998,7.065621881,1.60E-12,1.41E-10
C6orf15,36.8960468,4.401137217,0.360199741,9.442364424,3.64E-21,8.37E-19
SPINK6,29.71859519,4.39595649,0.313400924,10.83582157,2.33E-27,9.93E-25
KRT14,49011.20624,4.37203817,0.291250975,11.57777469,5.34E-31,3.64E-28
SOST,39.15006324,4.366650845,0.346132564,9.726478224,2.33E-22,6.10E-20
TMPRSS11F,17.58749393,4.331297185,0.366106949,9.099245973,9.10E-20,1.84E-17
ZFP42,17.14116513,4.324869251,0.350916795,9.474807992,2.67E-21,6.20E-19
LINC00520,34.22703157,4.322289841,0.240622466,13.80706421,2.31E-43,3.45E-40
KRTAP13-2,1.76247801,4.309413817,0.956390454,3.460316658,0.000539541,0.012769838
KLK8,265.4988144,4.301394767,0.377163711,8.753214233,2.07E-18,3.46E-16
KRT6A,57880.74337,4.299772657,0.295187879,11.17855067,5.19E-29,2.82E-26
PI3,12164.29399,4.283638793,0.307408761,10.68166951,1.24E-26,4.94E-24
S100A7,6537.035253,4.278633735,0.335896112,9.760856461,1.66E-22,4.40E-20
KRT1,1303.589203,4.234484374,0.314499292,10.28455215,8.27E-25,2.71E-22
C20orf141,9.353562721,4.167797773,0.338072564,9.370171121,7.24E-21,1.62E-18
LCE3D,22.53099105,4.118244015,0.471602691,6.612014893,3.79E-11,2.75E-09
MYOSLID,76.00517958,4.086684451,0.177005661,17.43833751,4.22E-68,3.36E-64
SLC47A2,89.71343973,4.078123836,0.218861508,14.06425402,6.30E-45,1.07E-41
SPANXC,2.684688989,4.075401306,0.568559795,5.409107946,6.33E-08,2.97E-06
INSL4,6.585615501,4.0731469,0.360065346,8.534969934,1.40E-17,2.22E-15
TCHHL1,13.18132791,4.050911162,0.407202216,7.492373667,6.76E-14,7.21E-12
SPRR2G,48.16751972,4.036399501,0.40974311,7.410495561,1.26E-13,1.30E-11
LGALS7,407.9990998,4.002071321,0.310343737,9.673374909,3.91E-22,9.94E-20
KLK13,135.0137442,4.001025383,0.311609209,9.630733922,5.93E-22,1.48E-19
HEPHL1,336.2478428,3.997525017,0.232307659,12.90325525,4.31E-38,5.15E-35
ROS1,83.97795803,3.993628345,0.290551291,10.30326981,6.81E-25,2.29E-22
CES1,4412.055651,3.992098378,0.264602683,11.30789131,1.20E-29,7.16E-27
HMGA2,916.957532,3.959555449,0.264441315,11.19172869,4.48E-29,2.49E-26
TMPRSS11D,276.9993248,3.860976887,0.35040683,8.164729226,3.22E-16,4.42E-14
TM4SF19,85.71368422,3.856952705,0.189260646,15.09533419,1.74E-51,4.61E-48
CDSN,12.10505706,3.8446255,0.32147041,8.848794204,8.85E-19,1.61E-16
PRSS56,8.94489856,3.840725796,0.478360241,5.93846552,2.88E-09,1.66E-07
KRT24,94.22940015,3.830453394,0.336721796,8.405910836,4.25E-17,6.42E-15
NEFL,118.7403492,3.823963625,0.319435623,8.840478098,9.53E-19,1.72E-16
CCDC190,163.5631048,3.821482528,0.320188257,8.811948808,1.23E-18,2.18E-16
SPRR1B,3734.303466,3.814644911,0.281565595,9.996409239,1.58E-23,4.66E-21
CDH18,29.11470209,3.803639279,0.382923581,7.321667876,2.45E-13,2.43E-11
SPRR2F,27.35460917,3.791422021,0.327364112,8.526964063,1.50E-17,2.36E-15
IFNK,5.805502872,3.766825249,0.450476161,6.142001479,8.15E-10,5.07E-08
FGFBP1,2710.738164,3.76432144,0.266961171,10.3547697,3.98E-25,1.38E-22
PICSAR,141.1136613,3.748065203,0.275192594,9.985970765,1.76E-23,5.11E-21
ZP4,1.371953209,3.729917382,0.616030894,4.431461809,9.36E-06,0.000306188
SH2D5,117.1420454,3.705313007,0.182217455,14.84661834,7.32E-50,1.75E-46
IL31RA,36.71756729,3.688102098,0.22356222,12.02395512,2.66E-33,2.19E-30
SERPINB7,291.8276789,3.655196645,0.292611734,9.074129088,1.15E-19,2.26E-17
KRT34,48.18006885,3.65280953,0.288805963,9.185438925,4.10E-20,8.66E-18
KRT5,112059.2742,3.646553286,0.256720361,10.30908992,6.41E-25,2.19E-22
RPE65,24.22256259,3.617011575,0.332447756,7.871948381,3.49E-15,4.39E-13
CDH16,18.86438323,3.611504433,0.291711263,8.952360661,3.48E-19,6.70E-17
NLRP10,9.423182626,3.609769957,0.266271794,9.801150623,1.11E-22,3.06E-20
GBP6,567.1615802,3.55455004,0.218301272,11.70194755,1.25E-31,9.01E-29
KLK12,23.11975329,3.552803485,0.356686819,7.15698856,8.25E-13,7.63E-11
SLC7A11,1718.022866,3.54080299,0.187013307,13.58621495,4.83E-42,6.79E-39
CPA4,611.4516684,3.540619674,0.22298829,11.39351163,4.50E-30,2.83E-27
SPRR4,22.48521884,3.53948977,0.346229702,7.334696463,2.22E-13,2.22E-11
KLK11,421.7780817,3.525496168,0.307381408,8.216164357,2.10E-16,2.92E-14
AGBL1-AS1,1.358201948,3.519590341,0.425085213,5.927259441,3.08E-09,1.76E-07
WFDC12,14.93619976,3.502543804,0.36352635,6.884078145,5.82E-12,4.84E-10
RHCG,2631.039439,3.501117473,0.243107532,10.28811182,7.97E-25,2.64E-22
LCE3E,9.642647474,3.470905117,0.431369144,5.728052531,1.02E-08,5.37E-07
VSNL1,490.1317946,3.450319299,0.201662786,12.15057746,5.70E-34,5.04E-31
RPSAP52,31.90826454,3.450301045,0.215791908,11.35492553,7.01E-30,4.29E-27
DEFB4A,1.71253292,3.438217613,0.496670219,4.909127863,9.15E-07,3.62E-05
