,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
TGM1,1335.867633,4.482528188,0.196009903,17.7671033,1.27E-70,3.03E-66,Positive
KRT6B,8398.769071,6.706397671,0.323351663,17.64765217,1.06E-69,1.27E-65,Positive
MYOSLID,76.00517958,4.086684451,0.177005661,17.43833751,4.22E-68,3.36E-64,Positive
KRT6C,2401.321042,6.807752446,0.342918511,16.93624652,2.43E-64,1.45E-60,Positive
SPRR2A,1134.045416,6.01470083,0.309627464,16.19591739,5.39E-59,2.57E-55,Positive
TENM2,826.142793,5.046093433,0.260937901,15.505963,3.16E-54,1.26E-50,Positive
CRTAC1,2942.892643,-5.266366403,0.277595727,-15.36899164,2.64E-53,9.02E-50,Negative
PVALB,460.0670294,-5.227365969,0.279178285,-15.14217329,8.53E-52,2.55E-48,Negative
TM4SF19,85.71368422,3.856952705,0.189260646,15.09533419,1.74E-51,4.61E-48,Positive
SH2D5,117.1420454,3.705313007,0.182217455,14.84661834,7.32E-50,1.75E-46,Positive
CASC22,39.73350542,-7.294406193,0.42765686,-14.71835665,4.91E-49,1.07E-45,Negative
NMRAL2P,229.8700869,4.86133571,0.266813969,14.47201478,1.82E-47,3.62E-44,Positive
IL36G,161.9034814,4.677711533,0.259666399,14.16321689,1.55E-45,2.84E-42,Positive
SLC47A2,89.71343973,4.078123836,0.218861508,14.06425402,6.30E-45,1.07E-41,Positive
CYP4F8,3014.041773,-5.133637085,0.294623036,-14.03025759,1.02E-44,1.62E-41,Negative
LINC00520,34.22703157,4.322289841,0.240622466,13.80706421,2.31E-43,3.45E-40,Positive
SLC7A11,1718.022866,3.54080299,0.187013307,13.58621495,4.83E-42,6.79E-39,Positive
BNC1,616.3101946,5.060168048,0.306797314,13.23404038,5.58E-40,7.40E-37,Positive
CTXND1,223.9748872,-4.204519544,0.242909963,-13.19221123,9.73E-40,1.22E-36,Negative
HEPHL1,336.2478428,3.997525017,0.232307659,12.90325525,4.31E-38,5.15E-35,Positive
KLK10,1292.685179,4.620189701,0.2831368,12.7860091,1.96E-37,2.23E-34,Positive
SPANXB1,25.38764491,7.241588382,0.488638581,12.77342525,2.31E-37,2.51E-34,Positive
CYP1A2,109.6770278,-5.918336372,0.392756399,-12.52261297,5.62E-36,5.83E-33,Negative
SPRR2D,826.6563561,4.820670133,0.305352153,12.51234059,6.39E-36,6.11E-33,Positive
PAEP,43.90327406,4.588280425,0.286722739,12.51480938,6.20E-36,6.11E-33,Positive
KRTAP5-10,57.26969571,-3.59374883,0.20936445,-12.38867835,3.01E-35,2.76E-32,Negative
VSNL1,490.1317946,3.450319299,0.201662786,12.15057746,5.70E-34,5.04E-31,Positive
LINC01541,32.48892561,-7.068444101,0.501299062,-12.10543677,9.88E-34,8.43E-31,Negative
IL31RA,36.71756729,3.688102098,0.22356222,12.02395512,2.66E-33,2.19E-30,Positive
HRH3,49.8524053,-4.630198792,0.305224263,-11.89354593,1.28E-32,1.02E-29,Negative
FMO8P,60.71454126,-5.637109967,0.392753412,-11.80667009,3.61E-32,2.78E-29,Negative
SPRR2E,365.8293038,5.506541862,0.38394589,11.73744004,8.19E-32,6.11E-29,Positive
GBP6,567.1615802,3.55455004,0.218301272,11.70194755,1.25E-31,9.01E-29,Positive
TRIML2,35.90757081,4.916162406,0.335674027,11.66656365,1.89E-31,1.33E-28,Positive
KRT14,49011.20624,4.37203817,0.291250975,11.57777469,5.34E-31,3.64E-28,Positive
MRGPRX3,7.405387879,4.565540018,0.308565102,11.55522772,6.95E-31,4.61E-28,Positive
DSG3,5843.460743,4.557651326,0.309206161,11.50575822,1.23E-30,7.96E-28,Positive
CPA4,611.4516684,3.540619674,0.22298829,11.39351163,4.50E-30,2.83E-27,Positive
RPSAP52,31.90826454,3.450301045,0.215791908,11.35492553,7.01E-30,4.29E-27,Positive
CES1,4412.055651,3.992098378,0.264602683,11.30789131,1.20E-29,7.16E-27,Positive
KRTAP5-7,12.02845835,-3.470043327,0.219401125,-11.25811606,2.11E-29,1.23E-26,Negative
FER1L4,11989.50493,-2.931685808,0.172051372,-11.22737813,2.99E-29,1.70E-26,Negative
HMGA2,916.957532,3.959555449,0.264441315,11.19172869,4.48E-29,2.49E-26,Positive
KRT6A,57880.74337,4.299772657,0.295187879,11.17855067,5.19E-29,2.82E-26,Positive
LEAP2,217.3264111,-2.91294401,0.17134108,-11.16453806,6.08E-29,3.09E-26,Negative
KRTAP5-8,28.19810879,-3.404774936,0.215366435,-11.165969,5.98E-29,3.09E-26,Negative
BHMT,2441.318425,-4.208997815,0.287415001,-11.16503248,6.05E-29,3.09E-26,Negative
KLK5,1014.789336,5.684352746,0.420562941,11.13829177,8.17E-29,4.06E-26,Positive
ZNF350-AS1,606.9123856,-3.994582951,0.269830921,-11.09799775,1.28E-28,6.25E-26,Negative
TGFBI,15983.06731,2.639481824,0.148284607,11.05631834,2.04E-28,9.76E-26,Positive
KLK7,428.9693238,5.120066326,0.373945692,11.01782001,3.14E-28,1.47E-25,Positive
LINC00967,179.0058273,-5.010332441,0.364963158,-10.98832131,4.35E-28,2.00E-25,Negative
PM20D1,3490.350732,-4.199873661,0.291844611,-10.96430613,5.67E-28,2.56E-25,Negative
CYP1A1,5876.596611,-5.016059406,0.36913581,-10.8796256,1.44E-27,6.38E-25,Negative
CD109,2125.271012,2.553183666,0.142856479,10.87233618,1.56E-27,6.78E-25,Positive
SPINK6,29.71859519,4.39595649,0.313400924,10.83582157,2.33E-27,9.93E-25,Positive
SULT2A1,406.2086134,-4.568479289,0.331253921,-10.77264015,4.64E-27,1.94E-24,Negative
TBX3,8229.234391,-2.487311372,0.138393364,-10.74698475,6.12E-27,2.52E-24,Negative
TEX45,126.6324245,-2.897936596,0.176910554,-10.72822709,7.50E-27,3.04E-24,Negative
PI3,12164.29399,4.283638793,0.307408761,10.68166951,1.24E-26,4.94E-24,Positive
LINC00942,73.11821539,3.359241868,0.222782043,10.58991039,3.32E-26,1.30E-23,Positive
TNIP3,59.30144176,3.032593394,0.192127358,10.57940636,3.71E-26,1.43E-23,Positive
HHIPL2,45.35495868,3.180325324,0.20666093,10.55025408,5.07E-26,1.92E-23,Positive
AGAP11,51.4694289,-3.055648169,0.195268271,-10.52730258,6.47E-26,2.41E-23,Negative
CRNN,98.82844202,5.969942156,0.474146551,10.48186925,1.05E-25,3.85E-23,Positive
TESC,1368.892962,-3.10883336,0.201754286,-10.45248357,1.43E-25,5.16E-23,Negative
KLK6,1290.730614,4.596386609,0.345250283,10.41675209,2.08E-25,7.41E-23,Positive
KLK14,108.5392458,3.371753157,0.22803764,10.40070908,2.46E-25,8.64E-23,Positive
FGFBP1,2710.738164,3.76432144,0.266961171,10.3547697,3.98E-25,1.38E-22,Positive
KRT5,112059.2742,3.646553286,0.256720361,10.30908992,6.41E-25,2.19E-22,Positive
ROS1,83.97795803,3.993628345,0.290551291,10.30326981,6.81E-25,2.29E-22,Positive
RHCG,2631.039439,3.501117473,0.243107532,10.28811182,7.97E-25,2.64E-22,Positive
KRT1,1303.589203,4.234484374,0.314499292,10.28455215,8.27E-25,2.71E-22,Positive
KRTAP5-9,110.2840045,-3.055687585,0.201129809,-10.2207007,1.60E-24,5.17E-22,Negative
LAMC2,15635.00999,2.773573681,0.174266212,10.17738127,2.50E-24,7.97E-22,Positive
KRT75,206.4460536,4.812517195,0.374845767,10.17089569,2.67E-24,8.40E-22,Positive
STEAP1B,89.4028967,3.135357889,0.210308131,10.15347282,3.20E-24,9.92E-22,Positive
MYBPC1,497.7122787,-4.133630294,0.3089648,-10.14235375,3.58E-24,1.10E-21,Negative
ADH6,170.0664472,-3.01842136,0.199364131,-10.12429544,4.31E-24,1.30E-21,Negative
EVX1-AS,68.75268313,-3.771422556,0.277125806,-10.00059356,1.51E-23,4.52E-21,Negative
SPRR1B,3734.303466,3.814644911,0.281565595,9.996409239,1.58E-23,4.66E-21,Positive
PICSAR,141.1136613,3.748065203,0.275192594,9.985970765,1.76E-23,5.11E-21,Positive
CTSE,2738.691576,-3.775577875,0.280106368,-9.909013848,3.80E-23,1.09E-20,Negative
FMO9P,1189.923896,-3.631254787,0.265594601,-9.907034184,3.88E-23,1.10E-20,Negative
LUCAT1,32.63841496,3.017420684,0.205085502,9.836973696,7.80E-23,2.19E-20,Positive
MAGEB2,95.25901641,4.742430726,0.381745502,9.803470403,1.09E-22,3.02E-20,Positive
NLRP10,9.423182626,3.609769957,0.266271794,9.801150623,1.11E-22,3.06E-20,Positive
MYT1,252.0563691,-3.591354211,0.264822036,-9.78526657,1.30E-22,3.53E-20,Negative
DHRS2,50093.67075,-3.246704255,0.22985194,-9.774571651,1.45E-22,3.88E-20,Negative
S100A7,6537.035253,4.278633735,0.335896112,9.760856461,1.66E-22,4.40E-20,Positive
SOST,39.15006324,4.366650845,0.346132564,9.726478224,2.33E-22,6.10E-20,Positive
FOXN4,19.48076942,-4.057257097,0.315668947,-9.685010586,3.49E-22,9.06E-20,Negative
CDA,502.6387196,2.640209257,0.169423346,9.681128954,3.63E-22,9.31E-20,Positive
LGALS7,407.9990998,4.002071321,0.310343737,9.673374909,3.91E-22,9.94E-20,Positive
ACSBG1,187.3522897,-2.937528407,0.200601567,-9.658590578,4.52E-22,1.14E-19,Negative
KLK13,135.0137442,4.001025383,0.311609209,9.630733922,5.93E-22,1.48E-19,Positive
MT1L,147.7560914,2.724362059,0.17910764,9.627518166,6.12E-22,1.51E-19,Positive
MEFV,71.34063993,2.55240738,0.16184496,9.591941461,8.64E-22,2.11E-19,Positive
CRH,1730.814933,-4.815419184,0.397951983,-9.587637076,9.01E-22,2.17E-19,Negative
SST,69.78597235,-5.05319925,0.425319223,-9.529781458,1.58E-21,3.76E-19,Negative
RGS20,165.4584342,2.53142597,0.161126611,9.504488185,2.01E-21,4.75E-19,Positive
ST3GAL5,2162.322977,-2.232539587,0.129820448,-9.494186794,2.22E-21,5.20E-19,Negative
ZFP42,17.14116513,4.324869251,0.350916795,9.474807992,2.67E-21,6.20E-19,Positive
C6orf15,36.8960468,4.401137217,0.360199741,9.442364424,3.64E-21,8.37E-19,Positive
AATBC,1210.817013,-2.546765792,0.164061581,-9.427958577,4.18E-21,9.51E-19,Negative
ZNF737,810.093916,-2.520646094,0.162033472,-9.384765207,6.31E-21,1.42E-18,Negative
C20orf141,9.353562721,4.167797773,0.338072564,9.370171121,7.24E-21,1.62E-18,Positive
SSTR5-AS1,48.57328349,-4.331170879,0.357200415,-9.325775496,1.10E-20,2.44E-18,Negative
ABCA4,476.6676172,3.033311155,0.219969173,9.243618667,2.38E-20,5.22E-18,Positive
F3,3990.27365,2.49646251,0.162107309,9.231308048,2.67E-20,5.75E-18,Positive
ENPP7P2,12.27269615,-3.085122751,0.225863774,-9.2317715,2.66E-20,5.75E-18,Negative
LINC01933,20.86043538,-3.029626901,0.220304082,-9.212842909,3.18E-20,6.77E-18,Negative
KRT34,48.18006885,3.65280953,0.288805963,9.185438925,4.10E-20,8.66E-18,Positive
PPFIBP2,3793.352698,-2.06861082,0.116531583,-9.17013904,4.72E-20,9.90E-18,Negative
SNX31,3419.000404,-3.166009085,0.236741266,-9.14926715,5.73E-20,1.18E-17,Negative
MSMB,289.8429996,-3.58518244,0.282547736,-9.149542208,5.72E-20,1.18E-17,Negative
MYCL,6453.671951,-2.348452794,0.147704196,-9.129414242,6.89E-20,1.41E-17,Negative
TMPRSS11F,17.58749393,4.331297185,0.366106949,9.099245973,9.10E-20,1.84E-17,Positive
LINC02454,10.15142341,2.90473159,0.209477568,9.092771169,9.65E-20,1.94E-17,Positive
LAMA3,6188.563989,2.744393398,0.191901655,9.090038309,9.90E-20,1.97E-17,Positive
SERPINB7,291.8276789,3.655196645,0.292611734,9.074129088,1.15E-19,2.26E-17,Positive
LINC02561,8.174132461,3.037552516,0.224748398,9.065926753,1.24E-19,2.42E-17,Positive
PPBP,22.08363372,3.215048681,0.24476437,9.049718638,1.43E-19,2.78E-17,Positive
