"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",9.42846866049824,0.396938485412236,0.144471206577956,0,1,1
"A1BG-AS1",41.4804882234176,0.807620047804795,0.145119183583097,0,1,1
"A1CF",7.71867947221996,-1.87416864828089,0.258972511072318,0,1,1
"A2M",25478.4614505062,-0.299396218924492,0.143909904037739,0,1,1
"A2M-AS1",45.2125186911831,-0.593800658445407,0.103839535605136,0,1,1
"A2ML1",3146.91298999458,1.29539612093021,0.241693429185528,0,1,1
"A2MP1",12.6232448806201,-0.912180032958885,0.18227784196046,0,1,1
"A3GALT2",1.94303086151794,-0.379273247057556,0.184523028917529,0,1,1
"A4GALT",2177.28082812843,0.361435231793201,0.114555011895097,0,1,1
"A4GNT",2.87560651838833,-0.737213816008543,0.203266746083088,0,1,1
"AAAS",2078.12723373097,-0.0666620244990681,0.0432635766360819,0,1,1
"AACS",1705.70837914138,0.487935717698305,0.0615699554833219,0,1,1
"AACSP1",24.3246835010281,-0.383399804092207,0.31145339970906,0,1,1
"AADAC",440.466940249938,-1.32448784026732,0.285716739143748,0,1,1
"AADACL2",10.6608077956132,1.09977306531596,0.349580452463237,0,1,1
"AADACL3",1.11861372559295,2.64688575811599,0.572715960318185,1.12950537951937,0.25868470150494,1
"AADACL4",0.812444166381209,-0.794341404371265,0.397644642132046,0,1,1
"AADACP1",58.4118687930258,1.91453109329305,0.273702346652954,0,1,1
"AADAT",481.130944462803,-1.04432770273029,0.104067836490501,0,1,1
"AAGAB",2730.44228446652,0.0247905353387041,0.0432221232288124,0,1,1
"AAK1",2572.65428569823,-0.00961470679490012,0.0610178117225624,0,1,1
"AAMDC",726.845440541348,-0.321127156880276,0.0871278668262561,0,1,1
"AAMP",6334.04187543391,0.048135899627681,0.0450903735282376,0,1,1
"AAR2",2517.41238610974,0.0357457263690386,0.0410749610134736,0,1,1
"AARD",35.3108592274874,-0.59216916507069,0.253337648131662,0,1,1
"AARS2",1212.30170201929,-0.0679115864252893,0.0526247158591532,0,1,1
"AARSD1",266.874508767013,-0.362158637373236,0.0549653783874489,0,1,1
"AASDH",490.731375016548,-0.0979127180685402,0.0489367784528344,0,1,1
"AASDHPPT",1691.08956391705,0.1006404704053,0.0571509380551214,0,1,1
"AASS",281.131018717691,-0.154160865411653,0.12624705899115,0,1,1
"AATBC",1210.81701311892,-2.54676579208884,0.164061581248579,-3.33268634818533,0.00086011848295215,0.0867976838182758
"AATF",4101.95425694199,0.265403311517211,0.0484195630556325,0,1,1
"AATK",181.213500994426,0.335182049599726,0.12352548086996,0,1,1
"ABALON",39.1037781067147,0.0306437920690783,0.118067433223959,0,1,1
"ABAT",1400.75444810907,-1.37549549938599,0.136992487621759,0,1,1
"ABCA1",2482.76243066584,0.200659465008481,0.109713161199365,0,1,1
"ABCA10",316.70189262435,-1.65584079697689,0.175086609321627,0,1,1
"ABCA11P",68.5918400302678,-0.824154234961288,0.0831235803501475,0,1,1
"ABCA12",473.085040802616,1.9051880367708,0.197209616586814,0,1,1
"ABCA13",251.195650163689,0.74076033724331,0.230535310610877,0,1,1
"ABCA17P",26.3143534476238,-0.531362353516428,0.180836738474576,0,1,1
"ABCA2",1991.94020981991,-0.159554033637562,0.0986328578634466,0,1,1
"ABCA3",581.907513316871,-0.358235763284077,0.158787999137221,0,1,1
"ABCA4",476.667617220869,3.03331115534404,0.219969173187522,4.69752711423407,2.63330236368815e-06,0.000420589537958565
"ABCA5",1015.70358596431,-0.832604878175844,0.0984948945719691,0,1,1
"ABCA6",473.6710298905,-2.04798037130222,0.188690200383136,-0.254281203818721,0.79927831985298,1
"ABCA7",1361.87476464234,-0.257252863488965,0.099814149398009,0,1,1
"ABCA8",254.850040036155,-0.872175720272196,0.206934405729565,0,1,1
"ABCA9",230.644259337187,-1.65275148518256,0.188306029658979,0,1,1
"ABCA9-AS1",21.7565653850603,-0.84532729118155,0.280255748279065,0,1,1
"ABCB1",132.04311818851,-0.431641259870921,0.126884830056966,0,1,1
"ABCB10",906.840767090612,0.296792216137019,0.0562716087298323,0,1,1
"ABCB10P3",0.206033334953095,0.643829703113323,0.708161609010656,0,1,NA
"ABCB10P4",0.403051040358388,0.533652423262452,0.416854762059739,0,1,1
"ABCB11",13.1911063183502,0.26968788964854,0.245428445037509,0,1,1
"ABCB4",62.0859977697626,-0.370715232485331,0.111160572594076,0,1,1
"ABCB5",8.66106663294872,-0.525089010641471,0.295352506473714,0,1,1
"ABCB6",340.658708236127,0.147080465084199,0.101852493051828,0,1,1
"ABCB7",812.982165650388,0.315213718185437,0.050072144603205,0,1,1
"ABCB8",1863.28094251354,0.254061548547911,0.0561915464575551,0,1,1
"ABCB9",437.172414396448,0.0958472149842319,0.0765386689438027,0,1,1
"ABCC1",4404.17363050053,0.79883591022152,0.0921834121259622,0,1,1
"ABCC10",1806.01370030727,-0.155130455904036,0.0542070842527859,0,1,1
"ABCC11",23.9858126815282,-0.492513761846396,0.119628841543787,0,1,1
"ABCC12",0.613466306587049,0.00405816005377359,0.426386163014705,0,1,1
"ABCC13",8.52607832614938,-0.133301374281841,0.240385356244633,0,1,1
"ABCC2",55.3388646052527,1.28855189158332,0.157068078007106,0,1,1
"ABCC3",4700.61377675089,-0.555898703094257,0.16109016309161,0,1,1
"ABCC4",1303.20113257418,-1.00670774140447,0.116063133875128,0,1,1
"ABCC5",5161.22582028121,-0.531122641459821,0.115531318556048,0,1,1
"ABCC5-AS1",1.17297194771978,-0.284474334862219,0.228238765262391,0,1,1
"ABCC6",66.3343707891315,0.850882201634645,0.134960225947665,0,1,1
"ABCC6P1",2.62128165979467,-0.411399116570937,0.238290140058774,0,1,1
"ABCC6P2",4.2762612514067,1.13562524422281,0.20354668022321,0,1,1
"ABCC8",8.32352957740058,-1.07531598521893,0.282559571878657,0,1,1
"ABCC9",276.126261173017,0.0782196810289626,0.16244190721265,0,1,1
"ABCD1",1130.33550156125,-0.0703871039382982,0.0812624695081344,0,1,1
"ABCD1P2",0.130769796710153,-0.015354512459413,0.558563378955874,0,1,NA
"ABCD2",36.3109334193561,-0.207550238110266,0.18501697750859,0,1,1
"ABCD3",4209.7995645713,-0.859874520383845,0.0857523100394229,0,1,1
"ABCD4",1778.28031092805,-0.202484341329074,0.0483633965480436,0,1,1
"ABCE1",3805.00428407688,0.349630431805071,0.0595523920903163,0,1,1
"ABCF1",5557.72642078612,0.311318512801848,0.0471481235024597,0,1,1
"ABCF2",3449.70902191823,0.441487613945102,0.0429731937909747,0,1,1
"ABCF2P1",0.480374286462618,0.247946537740788,0.230838374819188,0,1,1
"ABCF2P2",0.085543915977673,-0.00367077256508356,0.934784437270733,0,1,NA
"ABCF3",3425.95658508984,0.125920067666156,0.0396763685520772,0,1,1
"ABCG1",1893.81820244759,-0.43587346830369,0.107222594385469,0,1,1
"ABCG2",240.091450129914,1.02014804462355,0.148973147319306,0,1,1
"ABCG4",19.7440966719309,0.242067505068588,0.143315429318002,0,1,1
"ABCG5",8.86708883471765,-1.11541457225857,0.17092990527967,0,1,1
"ABCG8",4.53592546566146,-1.18885026778104,0.273880818476406,0,1,1
"ABHD1",31.0255567861077,-0.451772222446644,0.131338834457862,0,1,1
"ABHD10",1378.93520290276,-0.18555042482625,0.0458274097251688,0,1,1
"ABHD11",2528.19703356209,-0.40256940268906,0.094502229895755,0,1,1
"ABHD12",7055.56901366292,-0.633637139755702,0.0835937322524559,0,1,1
"ABHD12B",30.7233329059285,0.185897458168679,0.152902167480716,0,1,1
"ABHD13",899.387113325861,0.0446933584779265,0.0458074871250493,0,1,1
"ABHD14A",819.225969271735,-0.83352913969284,0.0901110897184073,0,1,1
"ABHD14A-ACY1",15.9998084032988,-0.881514129509474,0.107759748797181,0,1,1
"ABHD14B",3583.80138199557,-0.441413740069804,0.0783236438156497,0,1,1
"ABHD15",1278.18465501856,-0.342974790504524,0.0687523886406625,0,1,1
"ABHD16A",306.507811625473,-0.130962114829404,0.0485177498275441,0,1,1
"ABHD16B",0,NA,NA,NA,NA,NA
"ABHD17A",1843.0807951967,-0.163950539547426,0.0575957494668234,0,1,1
"ABHD17B",928.52656494631,-0.380371143026257,0.064526035701286,0,1,1
"ABHD17C",2588.88974201674,-0.301176050034937,0.0935026074595763,0,1,1
"ABHD18",452.55635849444,-0.312436678931175,0.0474734634966509,0,1,1
"ABHD2",6581.26045954846,-0.0438942922672224,0.107204836204909,0,1,1
"ABHD3",1019.16441055815,0.380319510193597,0.0746810308016576,0,1,1
"ABHD4",2263.33198080989,0.0790325261559113,0.0798687195342984,0,1,1
"ABHD5",1119.54175231623,-0.261710114453839,0.071182961125595,0,1,1
"ABHD6",421.010693654302,0.16133087449104,0.0763440107309922,0,1,1
"ABHD8",723.261857702712,-0.120931003224215,0.081827458173481,0,1,1
"ABI1",3531.40952969401,0.117969502922351,0.0462240247927687,0,1,1
"ABI2",1999.61842149274,-0.0304771405998546,0.0549991285269311,0,1,1
"ABI3",468.502506836778,0.853051371461309,0.114806477262604,0,1,1
"ABI3BP",747.939666507666,-0.620003935195452,0.187386402005685,0,1,1
"ABL1",4107.14811730433,0.120893835359559,0.0730232433281616,0,1,1
"ABL2",1593.93689052206,0.691724399827041,0.0674658448153826,0,1,1
"ABLIM1",4995.3978998701,0.0758479297237226,0.105447988825089,0,1,1
"ABLIM2",162.430426058519,1.23612712612404,0.146331921810107,0,1,1
"ABLIM3",1750.76633608995,-0.260483153155406,0.129612278430488,0,1,1
