sample,SIGLEC6,NEFL,NTNG1,FOXC2
TCGA-XF-AAN8-01A,0.2253,0.05469,0.2425,1.173
TCGA-DK-A3IQ-01A,1.217,0.02928,0.2561,0.3062
TCGA-XF-AAMJ-01A,0.2087,0,0.01452,0.5211
TCGA-FD-A3B7-01A,0.2475,0.005523,0.5457,0.7967
TCGA-FD-A5BT-01A,0.08114,0.04877,0.07256,1.323
TCGA-FD-A5BZ-01A,4.197,0.04237,0.1581,0.5545
TCGA-FD-A5BS-01A,0.1229,0.09826,0.04155,0.6072
TCGA-FD-A62S-01A,0.4803,0.1493,0.07264,0.8815
TCGA-K4-A3WS-01A,0.3856,0.01413,0.356,0.5246
TCGA-BT-A20R-01A,0.5855,0.006207,0.05493,0.5305
TCGA-GV-A3QG-01A,3.812,0.1963,0.4868,0.5937
TCGA-FD-A3SP-01A,0.8435,0,0.07919,0.3078
TCGA-GD-A3OS-01A,0.038,2.054,0.8621,2.465
TCGA-XF-A9SP-01A,0.2581,1.275,0.3425,0.6873
TCGA-SY-A9G0-01A,0.8887,1.726,0.6645,0.6898
TCGA-DK-A2I4-01A,0.2465,0.009652,0.09326,0.3643
TCGA-FD-A3SQ-01A,0.2725,0.05188,0.1569,0.194
TCGA-DK-AA6S-01A,0.07114,0.03427,0.07599,0.5987
TCGA-FD-A3B8-01A,0.6374,0.03324,0.5748,0.4288
TCGA-XF-A9SV-01A,0.1569,0.04162,0.03296,0.3861
TCGA-XF-AAMY-01A,0.4836,0.02336,0.1533,0.4699
TCGA-ZF-AA52-01A,0.9804,0.008943,0.1569,0.3342
TCGA-FD-A3SO-01A,0.153,0,0.006479,0.3771
TCGA-DK-AA74-01A,0.02053,0.01223,0.05146,0.5324
TCGA-BL-A13J-01A,0.3406,0.02465,0.04536,0.06874
TCGA-XF-A9SX-01A,0.07074,0,0.03529,0.1602
TCGA-FD-A3SM-01A,0.9827,0.006142,0.01739,0.2911
TCGA-XF-AAME-01A,0.6069,1.791,0.6036,0.8416
TCGA-FD-A6TA-01A,0.1336,0.1797,0.06172,0.2769
TCGA-XF-AAN3-01A,0.1531,0.005476,0.03974,0.163
TCGA-FD-A43U-01A,0.09318,0.4456,0.06622,1.28
TCGA-XF-A9T3-01A,0.05617,0.5107,2.159,0.5798
TCGA-FD-A3SL-01A,0.03388,0.3747,0.6184,0.8195
TCGA-DK-A2HX-01A,0.225,0.1423,0.1782,0.1442
TCGA-ZF-AA4R-01A,0,0.01857,0.008825,0.5159
TCGA-UY-A8OD-01A,0.189,0.00798,0.234,0.57
TCGA-XF-A9SK-01A,0.1647,0.0257,0.03239,0.1436
TCGA-XF-A9SJ-01A,1.143,2.695,0.08233,0.5814
TCGA-K4-A54R-01A,0.9495,0,0.008476,0.04627
TCGA-DK-A6B2-01A,3.69,0.1118,0.02727,0.3839
TCGA-XF-A9SZ-01A,1.935,0,0.4316,0.9143
TCGA-R3-A69X-01A,0.2513,1.641,0.3069,0.5192
TCGA-FD-A6TF-01A,3.151,0.0127,0.2868,0.4468
TCGA-XF-A8HH-01A,0.09108,0.01588,0.2558,0.3235
TCGA-BT-A20U-01A,0,0.03138,0.009984,0.6088
TCGA-BT-A2LB-01A,0.6731,0.01069,0.06948,0.2956
TCGA-XF-A9SW-01A,0.4353,0.3552,0.9022,2.011
TCGA-FT-A61P-01A,0.1979,0.05101,0.9489,0.2273
TCGA-FD-A6TG-01A,0.6407,0.107,0.4344,0.3677
TCGA-FD-A6TD-01A,0.1373,0.02125,0.06283,0.4648
TCGA-XF-AAMT-01A,0.2528,0.2659,0.7832,0.2793
TCGA-DK-A1AB-01A,0.2468,0.5141,1.662,0.9573
TCGA-DK-A3WX-01A,0.09093,0.006185,0.05756,3.1
TCGA-SY-A9G5-01A,0.1106,0,0.02406,0.2587
TCGA-ZF-A9R9-01A,1.709,0,0.3458,0.1739
TCGA-ZF-A9RC-01A,0.8311,0.02757,0.1342,0.2791
TCGA-DK-A2I1-01A,0.3104,0,0.04929,0.3854
TCGA-DK-A1AF-01A,0.7211,0.1283,0.3983,1.115
TCGA-DK-A1A5-01A,1.217,0.009672,0.03856,2.274
TCGA-FD-A62P-01A,0.1352,0,0.07767,0.1132
TCGA-FD-A62N-01A,0.167,0.05167,0.0964,0.2633
TCGA-FD-A3SR-01A,1.599,0.01337,0.5338,0.2174
TCGA-XF-A9SU-01A,2.849,0.2139,0.2728,0.9576
TCGA-BT-A20O-01A,0.7783,0.03277,1.753,0.3229
TCGA-K4-A83P-01A,0.4771,0.2174,0.7094,0.5391
TCGA-GU-AATP-01A,0,0,0.009336,0.3909
TCGA-FD-A6TB-01A,0.2291,0.4949,0.2846,0.3052
TCGA-DK-A3IN-01A,0.1158,0,0.06636,0.2833
TCGA-BL-A13J-01B,0.4578,0.02644,0.1036,0.1335
TCGA-UY-A8OC-01A,0.06342,0.3293,1.763,0.8046
TCGA-G2-A2EO-01A,0.02364,0,0.01003,0.462
TCGA-5N-A9KI-01A,0.178,0.05843,0.3446,0.05674
TCGA-DK-A3IT-01A,0.7781,0.02532,0.2621,0.4796
TCGA-C4-A0F6-01A,0.1434,0.04411,0.03148,0.1308
TCGA-UY-A78M-01A,0,0.1307,0.01611,0.2515
TCGA-FD-A6TH-01A,5.071,0.004615,0.008732,0.203
TCGA-XF-A9T8-01A,0.177,0.006571,0.01552,0.3819
TCGA-FD-A5C1-01A,0.1271,0.3434,0.003398,0.263
TCGA-FD-A5BY-01A,0.154,0.06738,0.08563,0.2125
TCGA-UY-A9PB-01A,0.1954,0.01766,0.08181,0.2024
TCGA-FD-A6TC-01A,4.293,0,0.0715,0.1497
TCGA-E7-A97Q-01A,4.218,0,0.04787,0.2251
TCGA-E7-A6MD-01A,0.3566,0.1119,0.05762,0.2483
TCGA-UY-A9PD-01A,0.8978,0.03326,0.04704,0.7708
TCGA-4Z-AA7N-01A,0.6275,0.2165,0.3146,0.6001
