,beta,HR (95% CI for HR),wald.test,p.value
EMP1,0.3,1.4 (1.2-1.5),26,2.80E-07
MAP2,0.37,1.5 (1.2-1.7),21,4.00E-06
IGF2BP2.AS1,1.3,3.8 (2.1-6.6),21,4.10E-06
DSC1,0.42,1.5 (1.3-1.8),21,4.60E-06
FER1L4,-0.17,0.84 (0.79-0.91),20,6.50E-06
LINC00626,1.1,3 (1.9-4.9),20,6.50E-06
TRIM16L,0.31,1.4 (1.2-1.6),19,1.60E-05
ANXA1,0.19,1.2 (1.1-1.3),18,2.20E-05
FBP1,-0.16,0.85 (0.79-0.92),18,2.60E-05
FOXC2.AS1,0.6,1.8 (1.4-2.4),18,2.80E-05
NEFL,0.26,1.3 (1.1-1.5),17,3.00E-05
CD109,0.23,1.3 (1.1-1.4),17,3.20E-05
CES1,0.13,1.1 (1.1-1.2),17,3.50E-05
KANK4,0.35,1.4 (1.2-1.7),16,4.90E-05
CTSE,-0.17,0.85 (0.78-0.92),16,5.60E-05
ADAM23,0.26,1.3 (1.1-1.5),15,9.00E-05
CYP4F35P,-0.58,0.56 (0.42-0.75),15,9.30E-05
SCEL,0.19,1.2 (1.1-1.3),15,9.80E-05
FOXC2,0.28,1.3 (1.2-1.5),15,1.00E-04
SERPINB2,0.14,1.1 (1.1-1.2),15,1.00E-04
TREML4,2.4,11 (3.2-35),15,1.00E-04
RPL37P1,-0.41,0.67 (0.54-0.82),15,0.00011
LINC00536,0.65,1.9 (1.4-2.7),15,0.00011
TM4SF1,0.17,1.2 (1.1-1.3),15,0.00011
ECM1,0.2,1.2 (1.1-1.4),15,0.00012
SERPINB12,0.44,1.6 (1.2-2),15,0.00012
EGFR,0.19,1.2 (1.1-1.3),15,0.00013
FAM126A,0.42,1.5 (1.2-1.9),14,0.00017
SH3BP5.AS1,-0.49,0.61 (0.48-0.79),14,0.00018
SMAD6,-0.38,0.68 (0.56-0.84),14,0.00019
SLC19A3,0.45,1.6 (1.2-2),14,2.00E-04
FN1,0.14,1.1 (1.1-1.2),14,2.00E-04
GPR37,0.32,1.4 (1.2-1.6),14,2.00E-04
LUCAT1,0.49,1.6 (1.3-2.1),14,0.00022
LINC01508,0.47,1.6 (1.2-2.1),14,0.00023
TTLL3,-0.4,0.67 (0.54-0.83),14,0.00023
CYP4F29P,-0.27,0.76 (0.66-0.88),13,0.00026
AKR1C7P,0.46,1.6 (1.2-2),13,3.00E-04
ADCY7,0.38,1.5 (1.2-1.8),13,0.00033
PAPPA,0.45,1.6 (1.2-2),13,0.00033
GBX2,0.95,2.6 (1.5-4.3),13,0.00034
PTPRR,-0.23,0.79 (0.7-0.9),13,0.00036
ZNF432,-0.37,0.69 (0.56-0.85),13,0.00036
TCHH,0.36,1.4 (1.2-1.8),13,0.00037
SRXN1,0.39,1.5 (1.2-1.8),13,0.00038
OVGP1,-0.32,0.72 (0.6-0.87),13,4.00E-04
TREML3P,0.42,1.5 (1.2-1.9),13,4.00E-04
CRNN,0.24,1.3 (1.1-1.5),12,0.00043
